fold_id,train_start_pos,train_end_pos,test_start_pos,test_end_pos,train_start_ts,train_end_ts,test_start_ts,test_end_ts,train_bars,test_bars,in_2022
62,2177,2429,2429,2492,2011-12-23,2012-12-10,2012-12-11,2013-03-08,252,63,False
63,2198,2450,2450,2513,2012-01-23,2013-01-09,2013-01-10,2013-04-08,252,63,False
64,2219,2471,2471,2534,2012-02-21,2013-02-07,2013-02-08,2013-05-07,252,63,False
65,2240,2492,2492,2555,2012-03-21,2013-03-08,2013-03-11,2013-06-05,252,63,False
66,2261,2513,2513,2576,2012-04-19,2013-04-08,2013-04-09,2013-07-04,252,63,False
67,2282,2534,2534,2597,2012-05-18,2013-05-07,2013-05-08,2013-08-02,252,63,False
68,2303,2555,2555,2618,2012-06-18,2013-06-05,2013-06-06,2013-09-02,252,63,False
69,2324,2576,2576,2639,2012-07-17,2013-07-04,2013-07-05,2013-10-01,252,63,False
70,2345,2597,2597,2660,2012-08-15,2013-08-02,2013-08-05,2013-10-30,252,63,False
71,2366,2618,2618,2681,2012-09-13,2013-09-02,2013-09-03,2013-11-28,252,63,False
72,2387,2639,2639,2702,2012-10-12,2013-10-01,2013-10-02,2013-12-27,252,63,False
73,2408,2660,2660,2723,2012-11-12,2013-10-30,2013-10-31,2014-01-28,252,63,False
74,2429,2681,2681,2744,2012-12-11,2013-11-28,2013-11-29,2014-02-26,252,63,False
75,2450,2702,2702,2765,2013-01-10,2013-12-27,2013-12-30,2014-03-27,252,63,False
76,2471,2723,2723,2786,2013-02-08,2014-01-28,2014-01-29,2014-04-25,252,63,False
77,2492,2744,2744,2807,2013-03-11,2014-02-26,2014-02-27,2014-05-26,252,63,False
78,2513,2765,2765,2828,2013-04-09,2014-03-27,2014-03-28,2014-06-24,252,63,False
79,2534,2786,2786,2849,2013-05-08,2014-04-25,2014-04-28,2014-07-23,252,63,False
80,2555,2807,2807,2870,2013-06-06,2014-05-26,2014-05-27,2014-08-21,252,63,False
81,2576,2828,2828,2891,2013-07-05,2014-06-24,2014-06-25,2014-09-19,252,63,False
82,2597,2849,2849,2912,2013-08-05,2014-07-23,2014-07-24,2014-10-20,252,63,False
83,2618,2870,2870,2933,2013-09-03,2014-08-21,2014-08-22,2014-11-18,252,63,False
84,2639,2891,2891,2954,2013-10-02,2014-09-19,2014-09-22,2014-12-17,252,63,False
85,2660,2912,2912,2975,2013-10-31,2014-10-20,2014-10-21,2015-01-16,252,63,False
86,2681,2933,2933,2996,2013-11-29,2014-11-18,2014-11-19,2015-02-16,252,63,False
87,2702,2954,2954,3017,2013-12-30,2014-12-17,2014-12-18,2015-03-17,252,63,False
88,2723,2975,2975,3038,2014-01-29,2015-01-16,2015-01-19,2015-04-15,252,63,False
89,2744,2996,2996,3059,2014-02-27,2015-02-16,2015-02-17,2015-05-14,252,63,False
90,2765,3017,3017,3080,2014-03-28,2015-03-17,2015-03-18,2015-06-12,252,63,False
91,2786,3038,3038,3101,2014-04-28,2015-04-15,2015-04-16,2015-07-13,252,63,False
92,2807,3059,3059,3122,2014-05-27,2015-05-14,2015-05-15,2015-08-11,252,63,False
93,2828,3080,3080,3143,2014-06-25,2015-06-12,2015-06-15,2015-09-09,252,63,False
94,2849,3101,3101,3164,2014-07-24,2015-07-13,2015-07-14,2015-10-08,252,63,False
95,2870,3122,3122,3185,2014-08-22,2015-08-11,2015-08-12,2015-11-06,252,63,False
96,2891,3143,3143,3206,2014-09-22,2015-09-09,2015-09-10,2015-12-07,252,63,False
97,2912,3164,3164,3227,2014-10-21,2015-10-08,2015-10-09,2016-01-06,252,63,False
98,2933,3185,3185,3248,2014-11-19,2015-11-06,2015-11-09,2016-02-04,252,63,False
99,2954,3206,3206,3269,2014-12-18,2015-12-07,2015-12-08,2016-03-04,252,63,False
100,2975,3227,3227,3290,2015-01-19,2016-01-06,2016-01-07,2016-04-04,252,63,False
101,2996,3248,3248,3311,2015-02-17,2016-02-04,2016-02-05,2016-05-03,252,63,False
102,3017,3269,3269,3332,2015-03-18,2016-03-04,2016-03-07,2016-06-01,252,63,False
103,3038,3290,3290,3353,2015-04-16,2016-04-04,2016-04-05,2016-06-30,252,63,False
104,3059,3311,3311,3374,2015-05-15,2016-05-03,2016-05-04,2016-07-29,252,63,False
105,3080,3332,3332,3395,2015-06-15,2016-06-01,2016-06-02,2016-08-29,252,63,False
106,3101,3353,3353,3416,2015-07-14,2016-06-30,2016-07-01,2016-09-27,252,63,False
107,3122,3374,3374,3437,2015-08-12,2016-07-29,2016-08-01,2016-10-26,252,63,False
108,3143,3395,3395,3458,2015-09-10,2016-08-29,2016-08-30,2016-11-24,252,63,False
109,3164,3416,3416,3479,2015-10-09,2016-09-27,2016-09-28,2016-12-23,252,63,False
110,3185,3437,3437,3500,2015-11-09,2016-10-26,2016-10-27,2017-01-23,252,63,False
111,3206,3458,3458,3521,2015-12-08,2016-11-24,2016-11-25,2017-02-21,252,63,False
112,3227,3479,3479,3542,2016-01-07,2016-12-23,2016-12-26,2017-03-22,252,63,False
113,3248,3500,3500,3563,2016-02-05,2017-01-23,2017-01-24,2017-04-20,252,63,False
114,3269,3521,3521,3584,2016-03-07,2017-02-21,2017-02-22,2017-05-19,252,63,False
115,3290,3542,3542,3605,2016-04-05,2017-03-22,2017-03-23,2017-06-19,252,63,False
116,3311,3563,3563,3626,2016-05-04,2017-04-20,2017-04-21,2017-07-18,252,63,False
117,3332,3584,3584,3647,2016-06-02,2017-05-19,2017-05-22,2017-08-16,252,63,False
118,3353,3605,3605,3668,2016-07-01,2017-06-19,2017-06-20,2017-09-14,252,63,False
119,3374,3626,3626,3689,2016-08-01,2017-07-18,2017-07-19,2017-10-13,252,63,False
120,3395,3647,3647,3710,2016-08-30,2017-08-16,2017-08-17,2017-11-13,252,63,False
121,3416,3668,3668,3731,2016-09-28,2017-09-14,2017-09-15,2017-12-12,252,63,False
122,3437,3689,3689,3752,2016-10-27,2017-10-13,2017-10-16,2018-01-11,252,63,False
123,3458,3710,3710,3773,2016-11-25,2017-11-13,2017-11-14,2018-02-09,252,63,False
124,3479,3731,3731,3794,2016-12-26,2017-12-12,2017-12-13,2018-03-12,252,63,False
125,3500,3752,3752,3815,2017-01-24,2018-01-11,2018-01-12,2018-04-10,252,63,False
126,3521,3773,3773,3836,2017-02-22,2018-02-09,2018-02-12,2018-05-09,252,63,False
127,3542,3794,3794,3857,2017-03-23,2018-03-12,2018-03-13,2018-06-07,252,63,False
128,3563,3815,3815,3878,2017-04-21,2018-04-10,2018-04-11,2018-07-06,252,63,False
129,3584,3836,3836,3899,2017-05-22,2018-05-09,2018-05-10,2018-08-06,252,63,False
130,3605,3857,3857,3920,2017-06-20,2018-06-07,2018-06-08,2018-09-04,252,63,False
131,3626,3878,3878,3941,2017-07-19,2018-07-06,2018-07-09,2018-10-03,252,63,False
132,3647,3899,3899,3962,2017-08-17,2018-08-06,2018-08-07,2018-11-01,252,63,False
133,3668,3920,3920,3983,2017-09-15,2018-09-04,2018-09-05,2018-11-30,252,63,False
134,3689,3941,3941,4004,2017-10-16,2018-10-03,2018-10-04,2018-12-31,252,63,False
135,3710,3962,3962,4025,2017-11-14,2018-11-01,2018-11-02,2019-01-30,252,63,False
136,3731,3983,3983,4046,2017-12-13,2018-11-30,2018-12-03,2019-02-28,252,63,False
137,3752,4004,4004,4067,2018-01-12,2018-12-31,2019-01-02,2019-03-29,252,63,False
138,3773,4025,4025,4088,2018-02-12,2019-01-30,2019-01-31,2019-04-29,252,63,False
139,3794,4046,4046,4109,2018-03-13,2019-02-28,2019-03-01,2019-05-28,252,63,False
140,3815,4067,4067,4130,2018-04-11,2019-03-29,2019-04-01,2019-06-26,252,63,False
141,3836,4088,4088,4151,2018-05-10,2019-04-29,2019-04-30,2019-07-25,252,63,False
142,3857,4109,4109,4172,2018-06-08,2019-05-28,2019-05-29,2019-08-23,252,63,False
143,3878,4130,4130,4193,2018-07-09,2019-06-26,2019-06-27,2019-09-23,252,63,False
