H,rs,fold_id,fold_start,sharpe_oos,max_drawdown,ic,n_trades,gate_on,H_train,rs_train,pnl
0.45,0.45,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.45,0.5,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.45,0.55,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.45,0.6,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.5,0.1,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.5,0.15,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.5,0.2,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.5,0.25,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.5,0.3,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.5,0.35,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.5,0.4,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.5,0.45,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.5,0.5,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.5,0.55,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.5,0.6,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.55,0.1,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.55,0.15,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.55,0.2,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.55,0.25,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.55,0.3,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.55,0.35,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.55,0.4,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.55,0.45,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.55,0.5,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.55,0.55,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.55,0.6,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.6,0.1,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.6,0.15,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.6,0.2,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.6,0.25,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.6,0.3,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.6,0.35,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.6,0.4,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.6,0.45,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.6,0.5,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.6,0.55,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.6,0.6,20,2006-07-16,0.0,-0.0,0.0,0,False,0.48307516722208244,0.03385,0.0
0.3,0.1,21,2006-08-09,0.0,-0.0,0.0,0,False,0.5284025722190122,0.0,0.0
0.3,0.15,21,2006-08-09,0.0,-0.0,0.0,0,False,0.5284025722190122,0.0,0.0
0.3,0.2,21,2006-08-09,0.0,-0.0,0.0,0,False,0.5284025722190122,0.0,0.0
0.3,0.25,21,2006-08-09,0.0,-0.0,0.0,0,False,0.5284025722190122,0.0,0.0
0.3,0.3,21,2006-08-09,0.0,-0.0,0.0,0,False,0.5284025722190122,0.0,0.0
0.3,0.35,21,2006-08-09,0.0,-0.0,0.0,0,False,0.5284025722190122,0.0,0.0
0.3,0.4,21,2006-08-09,0.0,-0.0,0.0,0,False,0.5284025722190122,0.0,0.0
0.3,0.45,21,2006-08-09,0.0,-0.0,0.0,0,False,0.5284025722190122,0.0,0.0
0.3,0.5,21,2006-08-09,0.0,-0.0,0.0,0,False,0.5284025722190122,0.0,0.0
0.3,0.55,21,2006-08-09,0.0,-0.0,0.0,0,False,0.5284025722190122,0.0,0.0
0.3,0.6,21,2006-08-09,0.0,-0.0,0.0,0,False,0.5284025722190122,0.0,0.0
0.35,0.1,21,2006-08-09,0.0,-0.0,0.0,0,False,0.5284025722190122,0.0,0.0
0.35,0.15,21,2006-08-09,0.0,-0.0,0.0,0,False,0.5284025722190122,0.0,0.0
0.35,0.2,21,2006-08-09,0.0,-0.0,0.0,0,False,0.5284025722190122,0.0,0.0
