fold_id,test_start_ts,test_end_ts,in_2022,n_valid_assets,fold_median_sharpe,fold_mean_sharpe,fold_portfolio_sharpe,is_valid
76,2014-01-29,2014-04-25,False,8,-0.4875,0.0539,1.5406,True
77,2014-02-27,2014-05-26,False,8,0.8375,0.9267,2.1483,True
78,2014-03-28,2014-06-24,False,8,0.3341,0.1865,0.0027,True
79,2014-04-28,2014-07-23,False,8,-0.1372,0.2607,0.4272,True
80,2014-05-27,2014-08-21,False,8,0.9652,0.2926,0.9181,True
81,2014-06-25,2014-09-19,False,8,-0.8226,-0.7556,-1.8969,True
82,2014-07-24,2014-10-20,False,8,-1.5343,-1.0613,-1.964,True
83,2014-08-22,2014-11-18,False,8,-1.3298,-1.0015,-1.5347,True
84,2014-09-22,2014-12-17,False,8,-1.0848,-0.5007,-0.1646,True
85,2014-10-21,2015-01-16,False,8,-1.0735,-0.7505,-2.3433,True
86,2014-11-19,2015-02-16,False,8,-1.0447,-0.5879,-1.2531,True
87,2014-12-18,2015-03-17,False,8,0.5379,-0.0546,0.446,True
88,2015-01-19,2015-04-15,False,8,0.8667,0.7094,2.525,True
89,2015-02-17,2015-05-14,False,8,-1.8908,-0.7935,-0.8395,True
90,2015-03-18,2015-06-12,False,8,-1.1451,-0.9728,-2.6251,True
91,2015-04-16,2015-07-13,False,8,-0.7663,-0.9542,-2.5935,True
92,2015-05-15,2015-08-11,False,8,-0.0163,-0.1577,-0.6046,True
93,2015-06-15,2015-09-09,False,8,0.6259,-0.1911,-0.5106,True
94,2015-07-14,2015-10-08,False,8,0.8241,0.1376,0.147,True
95,2015-08-12,2015-11-06,False,8,0.6875,0.7458,1.5627,True
96,2015-09-10,2015-12-07,False,8,0.5565,0.8708,1.6232,True
97,2015-10-09,2016-01-06,False,8,1.1743,1.7516,2.9572,True
98,2015-11-09,2016-02-04,False,8,0.5715,1.3257,4.1082,True
99,2015-12-08,2016-03-04,False,8,0.5384,0.9996,3.8096,True
100,2016-01-07,2016-04-04,False,8,1.2675,0.4764,1.9401,True
101,2016-02-05,2016-05-03,False,8,0.1313,0.3419,1.2862,True
102,2016-03-07,2016-06-01,False,8,0.7669,0.6679,1.7309,True
103,2016-04-05,2016-06-30,False,8,0.2262,-0.0167,-0.5139,True
104,2016-05-04,2016-07-29,False,8,0.3193,0.0081,-1.4721,True
105,2016-06-02,2016-08-29,False,8,0.126,-0.0242,-1.6897,True
106,2016-07-01,2016-09-27,False,8,-0.2179,-0.2287,-0.0716,True
107,2016-08-01,2016-10-26,False,8,0.1336,0.3545,1.966,True
108,2016-08-30,2016-11-24,False,8,1.1757,0.9453,4.0336,True
109,2016-09-28,2016-12-23,False,8,1.4403,1.2643,5.0058,True
110,2016-10-27,2017-01-23,False,8,2.0296,1.8816,6.3469,True
111,2016-11-25,2017-02-21,False,8,0.391,0.6239,1.7419,True
112,2016-12-26,2017-03-22,False,8,0.3013,0.2764,1.3528,True
113,2017-01-24,2017-04-20,False,8,-0.2829,-0.2046,-0.0809,True
114,2017-02-22,2017-05-19,False,8,-0.0445,-0.2174,-0.5715,True
115,2017-03-23,2017-06-19,False,8,-0.1014,-0.5445,-0.9914,True
116,2017-04-21,2017-07-18,False,8,-1.3113,-1.3945,-3.3983,True
117,2017-05-22,2017-08-16,False,8,-0.9764,-1.0827,-3.5314,True
118,2017-06-20,2017-09-14,False,8,-0.7366,-0.9668,-3.6744,True
119,2017-07-19,2017-10-13,False,8,-0.62,-0.5023,-1.638,True
120,2017-08-17,2017-11-13,False,8,0.8204,0.455,0.5749,True
121,2017-09-15,2017-12-12,False,8,0.164,0.5582,1.8954,True
122,2017-10-16,2018-01-11,False,8,0.8286,0.5606,2.3051,True
123,2017-11-14,2018-02-09,False,8,0.0983,-0.2016,-0.2909,True
124,2017-12-13,2018-03-12,False,8,0.5523,0.1133,-0.8918,True
125,2018-01-12,2018-04-10,False,8,-0.322,-0.0208,-1.5482,True
126,2018-02-12,2018-05-09,False,8,1.0735,0.6731,1.4996,True
127,2018-03-13,2018-06-07,False,8,0.4292,0.0447,0.9426,True
128,2018-04-11,2018-07-06,False,8,0.2382,0.4228,1.5643,True
129,2018-05-10,2018-08-06,False,8,-0.2697,0.0461,0.1114,True
130,2018-06-08,2018-09-04,False,8,0.8363,0.5965,1.0155,True
131,2018-07-09,2018-10-03,False,8,-0.0804,-0.4,-0.9044,True
132,2018-08-07,2018-11-01,False,8,-0.1289,-0.6078,-0.9043,True
133,2018-09-05,2018-11-30,False,8,-0.5245,-0.5249,-1.2569,True
134,2018-10-04,2018-12-31,False,8,0.6786,0.1852,0.6714,True
135,2018-11-02,2019-01-30,False,8,0.6886,0.1323,1.3227,True
136,2018-12-03,2019-02-28,False,8,0.6597,0.4171,1.8407,True
137,2019-01-02,2019-03-29,False,8,1.1667,0.9459,1.269,True
138,2019-01-31,2019-04-29,False,8,0.9126,0.852,1.0455,True
139,2019-03-01,2019-05-28,False,8,0.1705,-0.5281,-0.6512,True
140,2019-04-01,2019-06-26,False,8,0.1826,-0.4286,-0.5477,True
141,2019-04-30,2019-07-25,False,8,-0.6373,-0.6395,-1.4056,True
142,2019-05-29,2019-08-23,False,8,0.6379,0.3787,0.9924,True
143,2019-06-27,2019-09-23,False,8,0.7064,0.2953,0.7886,True
144,2019-07-26,2019-10-22,False,8,1.0329,0.4587,1.7005,True
145,2019-08-26,2019-11-20,False,8,0.6562,0.3715,1.6337,True
146,2019-09-24,2019-12-19,False,8,-0.4335,-0.4124,-1.163,True
147,2019-10-23,2020-01-20,False,8,-0.984,-0.7787,-2.48,True
148,2019-11-21,2020-02-18,False,8,-0.6699,-0.5384,-1.2275,True
149,2019-12-20,2020-03-18,False,8,0.7779,-0.2342,-1.453,True
150,2020-01-21,2020-04-16,False,8,-0.4041,-0.5662,-2.3567,True
151,2020-02-19,2020-05-15,False,8,-0.7448,-0.9329,-3.1792,True
152,2020-03-19,2020-06-15,False,8,0.0,-0.3364,-0.9084,True
153,2020-04-17,2020-07-14,False,8,0.0,0.1303,1.7501,True
154,2020-05-18,2020-08-12,False,8,-0.0129,0.363,1.4478,True
155,2020-06-16,2020-09-10,False,8,-0.3974,-0.044,-0.8993,True
156,2020-07-15,2020-10-09,False,8,-0.3281,-0.3129,-1.3397,True
157,2020-08-13,2020-11-09,False,8,-0.748,-0.4402,-1.7147,True
158,2020-09-11,2020-12-08,False,8,0.2597,-0.058,-0.3588,True
159,2020-10-12,2021-01-07,False,8,-0.2014,0.1113,-0.0337,True
160,2020-11-10,2021-02-05,False,8,-0.7733,-0.7613,-2.3605,True
161,2020-12-09,2021-03-08,False,8,-1.0077,-0.4547,-2.641,True
162,2021-01-08,2021-04-06,False,8,-1.7829,-0.7489,-2.5774,True
163,2021-02-08,2021-05-05,False,8,-0.5957,-0.3426,-1.2377,True
164,2021-03-09,2021-06-03,False,8,-1.2419,-0.6559,-1.4033,True
165,2021-04-07,2021-07-02,False,8,-1.7392,-1.4443,-3.1885,True
166,2021-05-06,2021-08-02,False,8,-0.4953,-0.6549,-1.549,True
167,2021-06-04,2021-08-31,False,8,0.1293,-0.4684,-1.082,True
168,2021-07-05,2021-09-29,False,8,0.0993,0.0887,1.3004,True
169,2021-08-03,2021-10-28,False,8,-1.084,-0.9013,-1.9634,True
170,2021-09-01,2021-11-26,False,8,-1.2438,-1.3103,-2.2164,True
171,2021-09-30,2021-12-27,False,8,-0.6819,-0.8176,-1.503,True
172,2021-10-29,2022-01-25,True,8,0.126,-0.267,-0.0911,True
173,2021-11-29,2022-02-23,True,8,0.4678,0.5209,1.188,True
174,2021-12-28,2022-03-24,True,8,1.1952,0.4921,1.2027,True
175,2022-01-26,2022-04-22,True,8,0.1512,0.2772,0.9244,True
176,2022-02-24,2022-05-23,True,8,-0.3425,-0.4573,-1.6879,True
177,2022-03-25,2022-06-21,True,8,0.1964,-0.093,-1.9477,True
178,2022-04-25,2022-07-20,True,8,-0.0223,-0.3791,-1.834,True
179,2022-05-24,2022-08-18,True,8,0.1012,0.0438,0.0648,True
180,2022-06-22,2022-09-16,True,8,0.4722,0.3289,0.8935,True
181,2022-07-21,2022-10-17,True,8,0.9839,-0.0217,0.7314,True
182,2022-08-19,2022-11-15,True,8,1.0314,0.5268,2.4789,True
183,2022-09-19,2022-12-14,True,8,0.6366,0.8023,2.6851,True
184,2022-10-18,2023-01-12,True,8,0.2466,0.3398,2.4226,True
185,2022-11-16,2023-02-10,True,8,-0.797,-0.6475,-0.4398,True
186,2022-12-15,2023-03-13,True,8,0.1171,-0.0144,0.8657,True
187,2023-01-13,2023-04-11,False,8,0.1435,0.164,1.6382,True
