bar_ts,n_edges,edge_density,mean_abs_corr,median_abs_corr,max_abs_corr,p90_abs_corr,n_components,mean_degree,min_degree,max_degree,deg_EURUSD,deg_GBPUSD,deg_USDJPY,deg_AUDUSD,deg_USDCAD,deg_USDCHF,deg_EURGBP,deg_EURJPY
2016-02-17 21:00:00,16,0.5714285714285714,0.37332192428708433,0.3539230642116441,0.8619721561335634,0.6328951028418373,1,4.0,2,6,5,6,3,2,2,5,5,4
2016-02-18 21:00:00,16,0.5714285714285714,0.3724200956847373,0.3651354034628221,0.8590829119429116,0.6249285471274089,1,4.0,2,6,5,6,3,2,2,5,5,4
2016-02-19 21:00:00,15,0.5357142857142857,0.37196644255577355,0.3697652267489758,0.8574961931887842,0.62665249313528,1,3.75,2,5,5,5,3,2,2,5,5,3
2016-02-22 21:00:00,15,0.5357142857142857,0.3739159191667736,0.3710876689839208,0.858627642537552,0.6212618298771084,1,3.75,2,5,5,5,3,2,2,5,5,3
2016-02-23 21:00:00,17,0.6071428571428571,0.3666133929933224,0.3681164738369177,0.860765089474851,0.6221616142225223,1,4.25,2,7,5,7,4,2,2,5,5,4
2016-02-24 21:00:00,16,0.5714285714285714,0.36655695584542647,0.36939625224085915,0.8576480129139671,0.6194370000711003,1,4.0,2,6,5,6,3,2,2,5,5,4
2016-02-25 21:00:00,16,0.5714285714285714,0.3643363195857613,0.36946870881472915,0.8616299583600289,0.621001297070638,1,4.0,2,6,5,6,4,2,2,5,5,3
2016-02-26 21:00:00,16,0.5714285714285714,0.36628535748610613,0.36953730939291324,0.8619326322282586,0.6185004719717203,1,4.0,2,6,5,6,3,2,2,5,5,4
2016-02-29 21:00:00,16,0.5714285714285714,0.36662115347128094,0.3695867107743709,0.8638660081376276,0.6227992869888644,1,4.0,2,6,5,6,4,2,2,5,5,3
2016-03-01 21:00:00,16,0.5714285714285714,0.3637196796622943,0.3567453876491655,0.862758918683233,0.6078143317429345,1,4.0,2,6,5,6,4,2,2,5,5,3
2016-03-02 21:00:00,17,0.6071428571428571,0.3647899369177269,0.36125577246322044,0.8626433549991728,0.603388907592935,1,4.25,2,6,5,6,5,2,2,5,5,4
2016-03-03 21:00:00,17,0.6071428571428571,0.36417697667912446,0.3622711886584389,0.8623199829269587,0.6008624674929487,1,4.25,2,6,5,6,5,2,2,5,5,4
2016-03-04 21:00:00,17,0.6071428571428571,0.3650427296753647,0.35266907249558693,0.863120868413373,0.6044426522032139,1,4.25,2,6,5,6,5,2,2,5,5,4
2016-03-07 21:00:00,16,0.5714285714285714,0.36492672213975996,0.35681741544126,0.854610852245172,0.5969810011746962,1,4.0,2,5,5,5,4,2,2,5,5,4
2016-03-08 21:00:00,17,0.6071428571428571,0.3637244205409927,0.36094268454034034,0.8510143980430629,0.5926559286659133,1,4.25,2,6,5,6,5,2,2,5,5,4
2016-03-09 21:00:00,16,0.5714285714285714,0.363819402491296,0.36248418364383506,0.8533761147493513,0.5844860251724665,1,4.0,2,5,5,5,4,2,2,5,5,4
2016-03-10 21:00:00,16,0.5714285714285714,0.3634153873828546,0.3685774821350851,0.8532746768601124,0.5881044292706585,1,4.0,2,5,5,5,4,2,2,5,5,4
2016-03-11 21:00:00,16,0.5714285714285714,0.36307294491368586,0.3535664369763701,0.8692226048104286,0.6034879821208115,1,4.0,2,5,5,5,4,2,2,5,5,4
2016-03-14 21:00:00,16,0.5714285714285714,0.3638364930411436,0.3606663139748529,0.8666157458542576,0.5935292340032958,1,4.0,2,5,5,5,4,2,2,5,5,4
2016-03-15 21:00:00,16,0.5714285714285714,0.36489343175455463,0.35887083810662423,0.8669191972048825,0.5935391895475283,1,4.0,2,5,5,5,4,2,2,5,5,4
2016-03-16 21:00:00,16,0.5714285714285714,0.366074755101402,0.3597665550622873,0.8664139205456447,0.5852677028226242,1,4.0,2,5,5,5,4,2,2,5,5,4
2016-03-17 21:00:00,16,0.5714285714285714,0.37219996444117415,0.3553605888877955,0.8696226282545562,0.5880262190087026,1,4.0,2,5,5,5,4,2,2,5,5,4
2016-03-18 21:00:00,16,0.5714285714285714,0.3767383819431495,0.34858915730328804,0.8734221227566038,0.5808206443756315,1,4.0,2,5,5,5,4,2,2,5,5,4
2016-03-21 21:00:00,16,0.5714285714285714,0.3773146901239873,0.3482045518507201,0.8763733975003639,0.5821116893058572,1,4.0,2,5,5,5,4,2,2,5,5,4
2016-03-22 21:00:00,17,0.6071428571428571,0.3769255687908955,0.34968798428693504,0.8778243396886795,0.5818998835849736,1,4.25,2,6,5,6,5,2,2,5,5,4
2016-03-23 21:00:00,17,0.6071428571428571,0.37453917223485567,0.3500297568906722,0.8781565788491633,0.5794670886782635,1,4.25,2,6,5,6,5,2,2,5,5,4
2016-03-24 21:00:00,17,0.6071428571428571,0.37366623256151676,0.3504435506472148,0.8769429350994892,0.5795510102059139,1,4.25,2,6,5,6,5,2,2,5,5,4
2016-03-25 21:00:00,17,0.6071428571428571,0.37400770890485885,0.34676201604603396,0.8780142386206979,0.5795235273507228,1,4.25,2,6,5,6,5,2,2,5,5,4
2016-03-28 21:00:00,17,0.6071428571428571,0.3731763201429514,0.34711316477971443,0.8792190163447733,0.5798873060094918,1,4.25,2,6,5,6,5,2,2,5,5,4
2016-03-29 21:00:00,16,0.5714285714285714,0.3737435295413265,0.3497764443792911,0.8790455618113996,0.5755948623497019,1,4.0,2,5,5,5,4,2,2,5,5,4
2016-03-30 21:00:00,16,0.5714285714285714,0.37755170662689813,0.3455807102714906,0.8807194765178915,0.5732021087418109,1,4.0,2,5,5,5,4,2,2,5,5,4
2016-03-31 21:00:00,17,0.6071428571428571,0.3789489996575754,0.34493124288201504,0.8815438350556891,0.5751167953026505,1,4.25,2,6,5,6,5,2,2,5,5,4
2016-04-01 21:00:00,16,0.5714285714285714,0.37598416892087433,0.3545461421293641,0.8800864577246758,0.5836833786902699,1,4.0,2,5,5,5,4,2,2,5,5,4
2016-04-04 21:00:00,16,0.5714285714285714,0.3749836568420917,0.3667809883625736,0.8833340510142014,0.5807290915332661,1,4.0,2,6,5,6,4,2,2,5,4,4
2016-04-05 21:00:00,16,0.5714285714285714,0.37409818135347334,0.3641939123615412,0.8830790549963132,0.5791793143984986,1,4.0,2,6,5,6,4,2,2,5,4,4
2016-04-06 21:00:00,16,0.5714285714285714,0.374283404070843,0.3737798603762281,0.8819068810152123,0.5735357291165598,1,4.0,2,6,5,6,4,2,2,5,4,4
2016-04-07 21:00:00,16,0.5714285714285714,0.373475975974159,0.3756804390325037,0.8820775499676542,0.5749837886345962,1,4.0,2,6,5,6,4,2,2,5,4,4
