fold_id,test_start_ts,test_end_ts,in_2022,n_bars,mean_edge_density,median_edge_density,p5_edge_density,p95_edge_density,mean_mean_abs_corr,mean_degree,mean_n_components
154,2020-05-18,2020-08-12,False,63,0.585,0.5714,0.5714,0.6071,0.3925,4.0952,1.0
155,2020-06-16,2020-09-10,False,63,0.6122,0.6071,0.5714,0.7143,0.4029,4.2857,1.0
156,2020-07-15,2020-10-09,False,63,0.6463,0.6429,0.6071,0.7143,0.4045,4.5238,1.0
157,2020-08-13,2020-11-09,False,63,0.6599,0.6429,0.6071,0.7143,0.4097,4.619,1.0
158,2020-09-11,2020-12-08,False,63,0.6582,0.6786,0.6071,0.7143,0.4072,4.6071,1.0
159,2020-10-12,2021-01-07,False,63,0.6565,0.6786,0.6071,0.6786,0.4103,4.5952,1.0
160,2020-11-10,2021-02-05,False,63,0.661,0.6786,0.6071,0.7107,0.4135,4.627,1.0
161,2020-12-09,2021-03-08,False,63,0.6769,0.6786,0.6429,0.7143,0.4182,4.7381,1.0
162,2021-01-08,2021-04-06,False,63,0.6825,0.6786,0.6429,0.7143,0.4243,4.7778,1.0
163,2021-02-08,2021-05-05,False,63,0.708,0.6786,0.6786,0.7857,0.4238,4.9563,1.0
164,2021-03-09,2021-06-03,False,63,0.72,0.7143,0.6786,0.7857,0.4284,5.0397,1.0
165,2021-04-07,2021-07-02,False,63,0.7341,0.75,0.6786,0.7857,0.4396,5.1389,1.0
166,2021-05-06,2021-08-02,False,63,0.7438,0.75,0.6786,0.7857,0.4502,5.2063,1.0
167,2021-06-04,2021-08-31,False,63,0.7455,0.75,0.7143,0.7857,0.455,5.2183,1.0
168,2021-07-05,2021-09-29,False,63,0.7404,0.75,0.7143,0.7857,0.4524,5.1825,1.0
169,2021-08-03,2021-10-28,False,63,0.7347,0.7143,0.7143,0.7857,0.4514,5.1429,1.0
170,2021-09-01,2021-11-26,False,63,0.7273,0.7143,0.7143,0.7857,0.4484,5.0913,1.0
171,2021-09-30,2021-12-27,False,63,0.7188,0.7143,0.6786,0.7857,0.4365,5.0317,1.0
172,2021-10-29,2022-01-25,True,63,0.7052,0.7143,0.6786,0.7143,0.4257,4.9365,1.0
173,2021-11-29,2022-02-23,True,63,0.6967,0.6786,0.6786,0.7143,0.4148,4.877,1.0
174,2021-12-28,2022-03-24,True,63,0.6893,0.6786,0.6429,0.7143,0.4062,4.8254,1.0
175,2022-01-26,2022-04-22,True,63,0.6616,0.6786,0.6071,0.7143,0.39,4.631,1.0
176,2022-02-24,2022-05-23,True,63,0.6383,0.6429,0.575,0.7107,0.3771,4.4683,1.0
177,2022-03-25,2022-06-21,True,63,0.6366,0.6429,0.575,0.6786,0.3805,4.4563,1.0
178,2022-04-25,2022-07-20,True,63,0.627,0.6071,0.5714,0.6786,0.394,4.3889,1.0
179,2022-05-24,2022-08-18,True,63,0.6259,0.6071,0.5714,0.6786,0.4076,4.381,1.0
180,2022-06-22,2022-09-16,True,63,0.6236,0.6071,0.5714,0.6786,0.4165,4.3651,1.0
181,2022-07-21,2022-10-17,True,63,0.644,0.6429,0.6071,0.6786,0.4275,4.5079,1.0
182,2022-08-19,2022-11-15,True,63,0.6672,0.6786,0.6429,0.7143,0.4421,4.6706,1.0
183,2022-09-19,2022-12-14,True,63,0.674,0.6786,0.6429,0.7143,0.4616,4.7183,1.0
184,2022-10-18,2023-01-12,True,63,0.6729,0.6786,0.6429,0.7143,0.4759,4.7103,1.0
185,2022-11-16,2023-02-10,True,63,0.6599,0.6429,0.6429,0.6786,0.485,4.619,1.0
186,2022-12-15,2023-03-13,True,63,0.648,0.6429,0.6429,0.6786,0.4825,4.5357,1.0
187,2023-01-13,2023-04-11,False,63,0.6491,0.6429,0.6429,0.6786,0.4797,4.5437,1.0
188,2023-02-13,2023-05-10,False,63,0.648,0.6429,0.5714,0.7143,0.4678,4.5357,1.0
189,2023-03-14,2023-06-08,False,63,0.6241,0.6429,0.5714,0.7143,0.4423,4.369,1.0
190,2023-04-12,2023-07-07,False,63,0.5998,0.5714,0.5714,0.7143,0.4166,4.1984,1.0
191,2023-05-11,2023-08-07,False,63,0.5873,0.5714,0.5714,0.6071,0.4042,4.1111,1.0
192,2023-06-09,2023-09-05,False,63,0.6026,0.6071,0.5714,0.6429,0.4041,4.2183,1.0
193,2023-07-10,2023-10-04,False,63,0.6122,0.6071,0.6071,0.6429,0.4001,4.2857,1.0
194,2023-08-08,2023-11-02,False,63,0.6298,0.6071,0.6071,0.6786,0.395,4.4087,1.0
195,2023-09-06,2023-12-01,False,63,0.6497,0.6429,0.6071,0.6786,0.3984,4.5476,1.0
196,2023-10-05,2024-01-03,False,63,0.6576,0.6429,0.6429,0.6786,0.409,4.6032,1.0
197,2023-11-03,2024-02-01,False,63,0.6525,0.6429,0.6429,0.6786,0.4158,4.5675,1.0
198,2023-12-04,2024-03-01,False,63,0.6332,0.6429,0.6071,0.6429,0.4194,4.4325,1.0
199,2024-01-04,2024-04-01,False,63,0.623,0.6071,0.6071,0.6429,0.4206,4.3611,1.0
200,2024-02-02,2024-04-30,False,63,0.6111,0.6071,0.6071,0.6429,0.4246,4.2778,1.0
201,2024-03-04,2024-05-29,False,63,0.6071,0.6071,0.6071,0.6071,0.4216,4.25,1.0
202,2024-04-02,2024-06-27,False,63,0.6071,0.6071,0.6071,0.6071,0.419,4.25,1.0
203,2024-05-01,2024-07-26,False,63,0.6071,0.6071,0.6071,0.6071,0.4133,4.25,1.0
204,2024-05-30,2024-08-26,False,63,0.6032,0.6071,0.5714,0.6071,0.4069,4.2222,1.0
205,2024-06-28,2024-09-24,False,63,0.6003,0.6071,0.5714,0.6429,0.4023,4.2024,1.0
206,2024-07-29,2024-10-23,False,63,0.5839,0.5714,0.5357,0.6429,0.3943,4.0873,1.0
207,2024-08-27,2024-11-21,False,63,0.5737,0.5714,0.5357,0.6429,0.3915,4.0159,1.0
208,2024-09-25,2024-12-20,False,63,0.5714,0.5714,0.5357,0.6429,0.387,4.0,1.0
209,2024-10-24,2025-01-21,False,63,0.5794,0.5714,0.5357,0.6429,0.3856,4.0556,1.0
210,2024-11-22,2025-02-19,False,63,0.5782,0.5714,0.5357,0.6429,0.3893,4.0476,1.0
211,2024-12-23,2025-03-20,False,63,0.5788,0.5714,0.5357,0.6393,0.3971,4.0516,1.0
212,2025-01-22,2025-04-18,False,63,0.5992,0.6071,0.5357,0.6429,0.4117,4.1944,1.0
213,2025-02-20,2025-05-19,False,63,0.6162,0.6071,0.5714,0.6429,0.4199,4.3135,1.0
214,2025-03-21,2025-06-17,False,63,0.6332,0.6429,0.5714,0.6786,0.4246,4.4325,1.0
215,2025-04-21,2025-07-16,False,63,0.6349,0.6429,0.5714,0.6786,0.426,4.4444,1.0
216,2025-05-20,2025-08-14,False,63,0.6525,0.6429,0.6071,0.6786,0.4305,4.5675,1.0
217,2025-06-18,2025-09-12,False,63,0.6638,0.6786,0.6429,0.6786,0.4364,4.6468,1.0
218,2025-07-17,2025-10-13,False,63,0.6689,0.6786,0.6429,0.6786,0.4515,4.6825,1.0
219,2025-08-15,2025-11-11,False,63,0.6627,0.6786,0.6429,0.6786,0.4567,4.6389,1.0
220,2025-09-15,2025-12-10,False,63,0.6514,0.6429,0.6429,0.6786,0.4452,4.5595,1.0
221,2025-10-14,2026-01-09,False,63,0.6457,0.6429,0.6429,0.6786,0.4212,4.5198,1.0
222,2025-11-12,2026-02-09,False,63,0.6293,0.6429,0.5714,0.6786,0.4009,4.4048,1.0
