fold_id,asset,test_start_ts,test_end_ts,in_2022,n_test,sharpe_test
37,AUDUSD,2010-12-07,2011-03-03,False,63,-0.2034
37,USDCAD,2010-12-07,2011-03-03,False,63,-0.367
37,USDCHF,2010-12-07,2011-03-03,False,63,4.2745
37,EURGBP,2010-12-07,2011-03-03,False,63,-0.8283
37,EURJPY,2010-12-07,2011-03-03,False,63,3.4618
38,EURUSD,2011-01-05,2011-04-01,False,63,-5.2331
38,GBPUSD,2011-01-05,2011-04-01,False,63,2.5786
38,USDJPY,2011-01-05,2011-04-01,False,63,2.1239
38,AUDUSD,2011-01-05,2011-04-01,False,63,1.1998
38,USDCAD,2011-01-05,2011-04-01,False,63,2.9457
38,USDCHF,2011-01-05,2011-04-01,False,63,2.8202
38,EURGBP,2011-01-05,2011-04-01,False,63,0.4832
38,EURJPY,2011-01-05,2011-04-01,False,63,1.7259
39,EURUSD,2011-02-03,2011-05-02,False,63,-4.4015
39,GBPUSD,2011-02-03,2011-05-02,False,63,-1.6339
39,USDJPY,2011-02-03,2011-05-02,False,63,0.9703
39,AUDUSD,2011-02-03,2011-05-02,False,63,2.006
39,USDCAD,2011-02-03,2011-05-02,False,63,1.9103
39,USDCHF,2011-02-03,2011-05-02,False,63,-0.3289
39,EURGBP,2011-02-03,2011-05-02,False,63,1.0167
39,EURJPY,2011-02-03,2011-05-02,False,63,-0.6445
40,EURUSD,2011-03-04,2011-05-31,False,63,-2.1925
40,GBPUSD,2011-03-04,2011-05-31,False,63,-1.8703
40,USDJPY,2011-03-04,2011-05-31,False,63,1.9459
40,AUDUSD,2011-03-04,2011-05-31,False,63,1.2641
40,USDCAD,2011-03-04,2011-05-31,False,63,0.4765
40,USDCHF,2011-03-04,2011-05-31,False,63,-2.6209
40,EURGBP,2011-03-04,2011-05-31,False,63,1.969
40,EURJPY,2011-03-04,2011-05-31,False,63,0.0885
41,EURUSD,2011-04-04,2011-06-29,False,63,-2.474
41,GBPUSD,2011-04-04,2011-06-29,False,63,-1.5586
41,USDJPY,2011-04-04,2011-06-29,False,63,-1.0531
41,AUDUSD,2011-04-04,2011-06-29,False,63,0.2417
41,USDCAD,2011-04-04,2011-06-29,False,63,-0.0496
41,USDCHF,2011-04-04,2011-06-29,False,63,-3.8317
41,EURGBP,2011-04-04,2011-06-29,False,63,2.0
41,EURJPY,2011-04-04,2011-06-29,False,63,0.7171
42,EURUSD,2011-05-03,2011-07-28,False,63,1.6021
42,GBPUSD,2011-05-03,2011-07-28,False,63,-2.4361
42,USDJPY,2011-05-03,2011-07-28,False,63,-2.6501
42,AUDUSD,2011-05-03,2011-07-28,False,63,-0.4345
42,USDCAD,2011-05-03,2011-07-28,False,63,0.3301
42,USDCHF,2011-05-03,2011-07-28,False,63,-3.1094
42,EURGBP,2011-05-03,2011-07-28,False,63,2.5695
42,EURJPY,2011-05-03,2011-07-28,False,63,1.586
43,EURUSD,2011-06-01,2011-08-26,False,63,1.6021
43,GBPUSD,2011-06-01,2011-08-26,False,63,-2.3713
43,USDJPY,2011-06-01,2011-08-26,False,63,-2.8232
43,AUDUSD,2011-06-01,2011-08-26,False,63,0.6438
43,USDCAD,2011-06-01,2011-08-26,False,63,-0.5205
43,USDCHF,2011-06-01,2011-08-26,False,63,-1.342
43,EURGBP,2011-06-01,2011-08-26,False,63,-1.481
43,EURJPY,2011-06-01,2011-08-26,False,63,1.0275
44,EURUSD,2011-06-30,2011-09-26,False,63,0.404
44,GBPUSD,2011-06-30,2011-09-26,False,63,-3.2541
44,USDJPY,2011-06-30,2011-09-26,False,63,-3.0768
44,AUDUSD,2011-06-30,2011-09-26,False,63,3.5955
44,USDCAD,2011-06-30,2011-09-26,False,63,-1.0446
44,USDCHF,2011-06-30,2011-09-26,False,63,1.022
44,EURGBP,2011-06-30,2011-09-26,False,63,-0.0599
44,EURJPY,2011-06-30,2011-09-26,False,63,-1.8626
45,EURUSD,2011-07-29,2011-10-25,False,63,-0.3624
45,GBPUSD,2011-07-29,2011-10-25,False,63,-0.7063
45,USDJPY,2011-07-29,2011-10-25,False,63,-1.2008
45,AUDUSD,2011-07-29,2011-10-25,False,63,1.5375
45,USDCAD,2011-07-29,2011-10-25,False,63,-1.893
45,USDCHF,2011-07-29,2011-10-25,False,63,1.965
45,EURGBP,2011-07-29,2011-10-25,False,63,-1.04
45,EURJPY,2011-07-29,2011-10-25,False,63,0.6002
46,EURUSD,2011-08-29,2011-11-23,False,63,-0.9666
46,GBPUSD,2011-08-29,2011-11-23,False,63,-2.7844
46,USDJPY,2011-08-29,2011-11-23,False,63,0.439
46,AUDUSD,2011-08-29,2011-11-23,False,63,1.3414
46,USDCAD,2011-08-29,2011-11-23,False,63,-1.0743
46,USDCHF,2011-08-29,2011-11-23,False,63,1.5292
46,EURGBP,2011-08-29,2011-11-23,False,63,0.5908
46,EURJPY,2011-08-29,2011-11-23,False,63,-0.4322
47,EURUSD,2011-09-27,2011-12-22,False,63,0.252
47,GBPUSD,2011-09-27,2011-12-22,False,63,-1.3602
47,USDJPY,2011-09-27,2011-12-22,False,63,0.4123
47,AUDUSD,2011-09-27,2011-12-22,False,63,-3.1796
47,USDCAD,2011-09-27,2011-12-22,False,63,0.0
47,USDCHF,2011-09-27,2011-12-22,False,63,-1.0661
47,EURGBP,2011-09-27,2011-12-22,False,63,-0.2213
47,EURJPY,2011-09-27,2011-12-22,False,63,-0.8335
48,EURUSD,2011-10-26,2012-01-20,False,63,0.5906
48,GBPUSD,2011-10-26,2012-01-20,False,63,-1.6878
48,USDJPY,2011-10-26,2012-01-20,False,63,1.2757
48,AUDUSD,2011-10-26,2012-01-20,False,63,0.0
48,USDCAD,2011-10-26,2012-01-20,False,63,0.0
48,USDCHF,2011-10-26,2012-01-20,False,63,-1.7849
48,EURGBP,2011-10-26,2012-01-20,False,63,1.1277
48,EURJPY,2011-10-26,2012-01-20,False,63,-2.9263
49,EURUSD,2011-11-24,2012-02-20,False,63,2.8944
49,GBPUSD,2011-11-24,2012-02-20,False,63,0.4111
49,USDJPY,2011-11-24,2012-02-20,False,63,-2.5447
49,AUDUSD,2011-11-24,2012-02-20,False,63,-1.1981
49,USDCAD,2011-11-24,2012-02-20,False,63,0.0
49,USDCHF,2011-11-24,2012-02-20,False,63,0.3585
49,EURGBP,2011-11-24,2012-02-20,False,63,-0.7074
49,EURJPY,2011-11-24,2012-02-20,False,63,-3.0592
50,EURUSD,2011-12-23,2012-03-20,False,63,2.1999
50,GBPUSD,2011-12-23,2012-03-20,False,63,-0.2582
50,USDJPY,2011-12-23,2012-03-20,False,63,1.3245
50,AUDUSD,2011-12-23,2012-03-20,False,63,-1.1981
50,USDCAD,2011-12-23,2012-03-20,False,63,0.0
50,USDCHF,2011-12-23,2012-03-20,False,63,1.0784
50,EURGBP,2011-12-23,2012-03-20,False,63,-0.7074
50,EURJPY,2011-12-23,2012-03-20,False,63,-4.082
51,EURUSD,2012-01-23,2012-04-18,False,63,1.1749
51,GBPUSD,2012-01-23,2012-04-18,False,63,-0.3399
51,USDJPY,2012-01-23,2012-04-18,False,63,2.1292
51,AUDUSD,2012-01-23,2012-04-18,False,63,-2.2927
51,USDCAD,2012-01-23,2012-04-18,False,63,0.3745
51,USDCHF,2012-01-23,2012-04-18,False,63,0.9684
51,EURGBP,2012-01-23,2012-04-18,False,63,-3.4904
51,EURJPY,2012-01-23,2012-04-18,False,63,-3.3085
52,EURUSD,2012-02-21,2012-05-17,False,63,-0.1121
52,GBPUSD,2012-02-21,2012-05-17,False,63,0.689
52,USDJPY,2012-02-21,2012-05-17,False,63,4.3249
52,AUDUSD,2012-02-21,2012-05-17,False,63,-4.649
52,USDCAD,2012-02-21,2012-05-17,False,63,0.3745
52,USDCHF,2012-02-21,2012-05-17,False,63,-0.1841
52,EURGBP,2012-02-21,2012-05-17,False,63,-3.6874
52,EURJPY,2012-02-21,2012-05-17,False,63,0.0349
53,EURUSD,2012-03-21,2012-06-15,False,63,-2.0
53,GBPUSD,2012-03-21,2012-06-15,False,63,0.8501
53,USDJPY,2012-03-21,2012-06-15,False,63,2.5144
53,AUDUSD,2012-03-21,2012-06-15,False,63,-1.9426
53,USDCAD,2012-03-21,2012-06-15,False,63,0.3745
53,USDCHF,2012-03-21,2012-06-15,False,63,-0.4086
53,EURGBP,2012-03-21,2012-06-15,False,63,-2.4254
53,EURJPY,2012-03-21,2012-06-15,False,63,2.6694
54,EURUSD,2012-04-19,2012-07-16,False,63,0.0
54,GBPUSD,2012-04-19,2012-07-16,False,63,1.4442
54,USDJPY,2012-04-19,2012-07-16,False,63,0.0
54,AUDUSD,2012-04-19,2012-07-16,False,63,-0.3986
54,USDCAD,2012-04-19,2012-07-16,False,63,0.0
54,USDCHF,2012-04-19,2012-07-16,False,63,0.0
54,EURGBP,2012-04-19,2012-07-16,False,63,-2.6749
54,EURJPY,2012-04-19,2012-07-16,False,63,3.3651
55,EURUSD,2012-05-18,2012-08-14,False,63,0.0
55,GBPUSD,2012-05-18,2012-08-14,False,63,0.4064
55,USDJPY,2012-05-18,2012-08-14,False,63,0.0
55,AUDUSD,2012-05-18,2012-08-14,False,63,2.1975
55,USDCAD,2012-05-18,2012-08-14,False,63,0.0
55,USDCHF,2012-05-18,2012-08-14,False,63,0.0
