fold_id,test_start_ts,test_end_ts,in_2022,n_valid_assets,fold_median_sharpe,fold_mean_sharpe,fold_portfolio_sharpe,is_valid
104,2016-05-04,2016-07-29,False,8,0.3521,0.0381,-1.4026,True
105,2016-06-02,2016-08-29,False,8,0.1544,0.0107,-1.5969,True
106,2016-07-01,2016-09-27,False,8,-0.1598,-0.1807,0.1016,True
107,2016-08-01,2016-10-26,False,8,0.1804,0.4119,2.1491,True
108,2016-08-30,2016-11-24,False,8,1.2521,1.0066,4.1957,True
109,2016-09-28,2016-12-23,False,8,1.503,1.3342,5.19,True
110,2016-10-27,2017-01-23,False,8,2.1062,1.9432,6.549,True
111,2016-11-25,2017-02-21,False,8,0.4214,0.6847,1.876,True
112,2016-12-26,2017-03-22,False,8,0.3693,0.3587,1.6046,True
113,2017-01-24,2017-04-20,False,8,-0.1784,-0.1216,0.1533,True
114,2017-02-22,2017-05-19,False,8,0.1176,-0.0698,-0.2323,True
115,2017-03-23,2017-06-19,False,8,-0.0232,-0.4458,-0.7891,True
116,2017-04-21,2017-07-18,False,8,-1.1846,-1.2756,-3.1064,True
117,2017-05-22,2017-08-16,False,8,-0.8533,-0.9913,-3.2479,True
118,2017-06-20,2017-09-14,False,8,-0.6193,-0.8456,-3.3711,True
119,2017-07-19,2017-10-13,False,8,-0.5271,-0.4049,-1.4078,True
120,2017-08-17,2017-11-13,False,8,0.9757,0.5655,0.7792,True
121,2017-09-15,2017-12-12,False,8,0.273,0.6699,2.1233,True
122,2017-10-16,2018-01-11,False,8,0.8699,0.6908,2.5749,True
123,2017-11-14,2018-02-09,False,8,0.1848,-0.0812,0.0966,True
124,2017-12-13,2018-03-12,False,8,0.6816,0.2503,-0.5234,True
125,2018-01-12,2018-04-10,False,8,-0.207,0.0771,-1.2937,True
126,2018-02-12,2018-05-09,False,8,1.1009,0.7433,1.676,True
127,2018-03-13,2018-06-07,False,8,0.448,0.0745,1.0289,True
128,2018-04-11,2018-07-06,False,8,0.2556,0.4609,1.6647,True
129,2018-05-10,2018-08-06,False,8,-0.2208,0.0919,0.2098,True
130,2018-06-08,2018-09-04,False,8,0.8753,0.6702,1.175,True
131,2018-07-09,2018-10-03,False,8,-0.0244,-0.2992,-0.6536,True
132,2018-08-07,2018-11-01,False,8,-0.0544,-0.479,-0.6422,True
133,2018-09-05,2018-11-30,False,8,-0.4744,-0.4182,-1.031,True
134,2018-10-04,2018-12-31,False,8,0.7912,0.2915,0.9041,True
135,2018-11-02,2019-01-30,False,8,0.7808,0.205,1.5187,True
136,2018-12-03,2019-02-28,False,8,0.7383,0.4654,1.9878,True
137,2019-01-02,2019-03-29,False,8,1.2028,1.0024,1.3394,True
138,2019-01-31,2019-04-29,False,8,1.2929,1.0229,1.3428,True
139,2019-03-01,2019-05-28,False,8,0.288,-0.4188,-0.3479,True
140,2019-04-01,2019-06-26,False,8,0.2864,-0.3102,-0.2297,True
141,2019-04-30,2019-07-25,False,8,-0.5582,-0.5596,-1.2089,True
142,2019-05-29,2019-08-23,False,8,0.7253,0.4717,1.2565,True
143,2019-06-27,2019-09-23,False,8,0.8015,0.4237,1.1379,True
144,2019-07-26,2019-10-22,False,8,1.1719,0.61,2.1362,True
145,2019-08-26,2019-11-20,False,8,0.8605,0.5566,2.1827,True
146,2019-09-24,2019-12-19,False,8,-0.2475,-0.2584,-0.7345,True
147,2019-10-23,2020-01-20,False,8,-0.8176,-0.6484,-2.1494,True
148,2019-11-21,2020-02-18,False,8,-0.5502,-0.4357,-0.9553,True
149,2019-12-20,2020-03-18,False,8,0.9107,-0.1126,-1.2102,True
150,2020-01-21,2020-04-16,False,8,-0.3631,-0.4885,-2.1998,True
151,2020-02-19,2020-05-15,False,8,-0.6472,-0.8652,-3.0538,True
152,2020-03-19,2020-06-15,False,8,0.0,-0.331,-0.8886,True
153,2020-04-17,2020-07-14,False,8,0.0,0.1295,1.783,True
154,2020-05-18,2020-08-12,False,8,-0.0051,0.3742,1.4849,True
155,2020-06-16,2020-09-10,False,8,-0.384,-0.0128,-0.7989,True
156,2020-07-15,2020-10-09,False,8,-0.2648,-0.2704,-1.2036,True
157,2020-08-13,2020-11-09,False,8,-0.6782,-0.3671,-1.4605,True
158,2020-09-11,2020-12-08,False,8,0.3454,0.0366,-0.005,True
159,2020-10-12,2021-01-07,False,8,-0.1132,0.2093,0.322,True
160,2020-11-10,2021-02-05,False,8,-0.6871,-0.6899,-2.1336,True
161,2020-12-09,2021-03-08,False,8,-0.8703,-0.3427,-2.4165,True
162,2021-01-08,2021-04-06,False,8,-1.635,-0.6275,-2.3192,True
163,2021-02-08,2021-05-05,False,8,-0.4414,-0.1734,-0.8573,True
164,2021-03-09,2021-06-03,False,8,-1.0705,-0.5185,-1.0228,True
165,2021-04-07,2021-07-02,False,8,-1.6152,-1.3058,-2.8261,True
166,2021-05-06,2021-08-02,False,8,-0.3929,-0.5304,-1.2216,True
167,2021-06-04,2021-08-31,False,8,0.2266,-0.3646,-0.8088,True
168,2021-07-05,2021-09-29,False,8,0.1797,0.178,1.5542,True
169,2021-08-03,2021-10-28,False,8,-0.9984,-0.8397,-1.7964,True
170,2021-09-01,2021-11-26,False,8,-1.1936,-1.2659,-2.134,True
171,2021-09-30,2021-12-27,False,8,-0.6607,-0.7896,-1.4506,True
172,2021-10-29,2022-01-25,True,8,0.197,-0.2283,-0.0252,True
173,2021-11-29,2022-02-23,True,8,0.4929,0.574,1.29,True
174,2021-12-28,2022-03-24,True,8,1.252,0.5594,1.3701,True
